Minisector,PIA,VER,Fastest
0,255.3130430167693,260.98186973874124,VER
1,140.12331857822718,139.1218542754947,PIA
2,204.53212554149894,201.86798343230626,PIA
3,249.21795169581472,247.42320552071595,PIA
4,249.86677213333334,260.37638187851854,VER
5,180.6058698037262,181.55120654869026,VER
6,149.11971515560634,147.05587789055028,PIA
7,190.6697977447619,188.07914144985995,PIA
8,104.27230839363129,99.32471026846909,PIA
9,72.81734494027859,72.84369056724232,VER
10,99.21908346686897,98.78456883548222,PIA
11,190.84586676584794,186.97614203508772,PIA
12,249.4444502584127,246.46800032000002,PIA
13,271.38461763662986,268.31158443369964,PIA
14,282.15311247329765,275.0368016844493,PIA
15,116.09885726945542,110.17073749856209,PIA
16,154.7394850479587,161.25348197180685,VER
17,195.02603336126984,190.9603579163239,PIA
18,200.14270440435237,206.7034176388422,VER
19,213.73487738057145,215.03100341960786,VER
20,141.47823814978779,138.52218914391534,PIA
21,114.42442424533444,104.03888800664157,PIA
22,97.97714051295762,108.41823045725607,VER
23,198.09813879945577,208.89376311769377,VER
24,257.8868352027788,252.79221093006802,PIA
