Minisector,SAI,RIC,Fastest
0,267.4814833533333,271.43541223098913,RIC
1,297.8893619755742,298.5761764392157,RIC
2,316.48498987779595,309.6799573005128,SAI
3,328.5265731257582,319.38589225589226,SAI
4,335.0606289807163,324.64143272442067,SAI
5,334.4934703798601,326.8993332622222,SAI
6,218.32838094851826,184.38501982608696,SAI
7,104.36691104639371,106.38615345775679,RIC
8,188.62299472571428,186.40164037013653,SAI
9,256.1155253369423,258.84434048888886,RIC
10,282.7029160914286,288.9251035813485,RIC
11,162.05348572873564,154.55010899044734,SAI
12,93.53301424354672,99.13077996680137,RIC
13,113.65545461480647,116.50248740884408,RIC
14,208.58202860670707,217.23708707225728,RIC
15,179.71109637002073,181.16659650174842,RIC
16,221.4985959543195,210.75731390696575,SAI
17,174.031214973592,174.77396141103597,RIC
18,231.8278061201272,237.61383482867168,RIC
19,273.26406635864873,279.2241621008549,RIC
20,235.19896819542856,238.38739954466334,RIC
21,145.20754193365303,143.62719022035856,SAI
22,96.83871415307013,94.51971326489219,SAI
23,125.33196266804521,125.80042835959827,RIC
24,222.9197875033766,222.39766464856763,SAI
25,251.5,,SAI
