Minisector,VER,ALB,Fastest
0,271.3595171947154,270.0180205203021,VER
1,288.7688042920571,289.2386081079039,ALB
2,294.8965029142857,296.98177066666665,ALB
3,137.5968116052385,130.2187350197516,VER
4,204.4242961284519,196.184373637954,VER
5,262.1665701475403,254.3483771537241,VER
6,155.01867401097937,141.2787985167601,VER
7,210.93043494034654,207.74580444241985,VER
8,261.3986938370147,259.79388515911063,VER
9,281.5236915123444,281.4691545794588,VER
10,253.4649005338,230.6801673622765,VER
11,192.83267625417267,174.35436312761158,VER
12,203.99548427885412,193.6407083493146,VER
13,158.446187450512,145.4117757099679,VER
14,187.42516231931444,177.42179841804617,VER
15,174.62497690701642,162.2837571580799,VER
16,225.78565856482183,217.90976516130624,VER
17,248.11210172207973,235.90191846699523,VER
18,248.32725466441647,242.89870413968623,VER
19,257.72105788055404,235.33744942154937,VER
20,152.05361952305444,146.51191328859818,VER
21,145.35857673350145,133.77927457707153,VER
22,176.5276033955563,175.43544627456686,VER
23,158.6585832885654,153.65266907451482,VER
24,235.90464406469158,231.7430857343885,VER
