Minisector,HAM,GRO,Fastest
0,253.61641978344502,259.3791192043248,GRO
1,134.9093545247272,129.78847407746164,HAM
2,200.3838721445213,198.53270439880833,HAM
3,244.34527568007326,245.2774095797258,GRO
4,255.35758706089752,257.0794256201351,GRO
5,178.65354805789852,176.09171914029716,HAM
6,147.34201111607183,147.54675842838887,GRO
7,180.18938939850307,178.36278195488723,HAM
8,99.92128401715645,100.33568799088314,GRO
9,72.76568897843995,71.9332120356622,HAM
10,93.2467291764812,92.42836492285963,HAM
11,184.04675234132475,179.01006724351987,HAM
12,242.9797440003734,242.1113830606059,HAM
13,264.1797096354947,266.2503565367233,GRO
14,271.8241764336996,277.49717893413776,GRO
15,112.73944626830789,115.76742859961509,GRO
16,149.03730064975923,142.44785637923317,HAM
17,189.75112026161088,194.5886991696712,GRO
18,199.40390009172972,194.04697257956084,HAM
19,207.6288517019608,215.15619695465352,GRO
20,138.0067323026819,137.7530409565504,HAM
21,114.11255011873516,120.06856835675406,GRO
22,94.44947913419637,86.81034266274837,HAM
23,195.8916623589449,189.76735328234815,HAM
24,247.75485086364344,245.15841450351303,HAM
25,,262.4937504,GRO
