Minisector,LEC,NOR,Fastest
0,300.07112115980993,295.3487922300936,LEC
1,255.04870790189997,246.40459096531387,LEC
2,208.32465320966776,203.40295922113313,LEC
3,270.94604991929276,268.89655345739516,LEC
4,232.55351916430124,222.0789402306824,LEC
5,117.50850640531468,117.59296556486589,NOR
6,181.65978151725108,181.24766040645457,LEC
7,258.5522659646258,257.5715712513464,LEC
8,287.43139449982186,287.34324056619624,LEC
9,300.7141383495033,301.3071862284946,NOR
10,305.98150926725873,303.70527671973775,LEC
11,237.82983907967798,211.2108049182889,LEC
12,147.17883323004764,148.6947304044784,NOR
13,259.4670791994365,257.5396596356546,LEC
14,290.34489456477866,289.4657037153271,LEC
15,300.5968219600119,300.4636945617341,LEC
16,298.17888300025936,294.6382937396825,LEC
17,269.3034949669038,260.9209812367204,LEC
18,195.98640837560603,193.9041902977863,LEC
19,191.63607377133033,178.85577331844104,LEC
20,194.5747568974024,192.63705642218886,LEC
21,253.778025667695,242.7413649216103,LEC
22,129.4347116553054,124.22835539010302,LEC
23,202.25711502390854,209.77396069556175,NOR
24,279.0749965258373,279.0140299002783,LEC
25,293.1562512,,LEC
