Minisector,NOR,TSU,Fastest
0,284.7216871977143,286.6149453078261,TSU
1,294.0599069361879,296.45172358325624,TSU
2,299.41651508175045,301.7656359934503,TSU
3,299.65743062320985,302.59426288504363,TSU
4,196.57055603309968,186.40519988834055,NOR
5,213.2310484107592,213.07311622913582,NOR
6,263.7776918780062,263.1848905671163,NOR
7,260.3186504486957,264.6404322331891,TSU
8,192.22884179911355,186.0225839387496,NOR
9,144.83580779662344,156.003700049285,TSU
10,181.97159587950617,177.7245412905681,NOR
11,255.9781792128436,254.86792259972609,NOR
12,240.76567275336237,248.11058509628117,TSU
13,224.8630081325655,227.14554810508852,TSU
14,265.35291859058253,262.73251669948297,NOR
15,170.68852110014765,173.11340858,TSU
16,221.73971159030444,212.2864765898984,NOR
17,232.86099768135793,244.7119973132275,TSU
18,132.57552553720092,133.4204419030936,TSU
19,237.45766763213712,230.24915667246734,NOR
20,272.71182626291653,274.3569780673125,TSU
21,243.4847493193506,264.99376301754387,TSU
22,134.94336897321207,138.17169436917516,TSU
23,208.67974798304326,202.548561371009,NOR
24,267.68330044190475,262.9506909707029,NOR
25,,279.89166577777775,TSU
