Minisector,NOR,RUS,Fastest
0,281.1853184946366,279.18518620506427,NOR
1,122.25863097443283,114.17829033907013,NOR
2,172.84444579232422,168.38113059160082,NOR
3,206.76204734144926,215.97554695524323,RUS
4,162.542821637506,160.13413545332742,NOR
5,239.32266110040814,242.32099855699857,RUS
6,200.32575557705295,203.1464749531713,RUS
7,138.8985575179832,135.7084021535677,NOR
8,238.1022966874435,235.6408938736804,NOR
9,276.1635040857143,277.7009210526316,RUS
10,277.5698978322843,286.3086622116838,RUS
11,151.9477590280418,154.19972996309764,RUS
12,220.64523484196928,228.02562137459418,RUS
13,271.1682503317669,273.1077596689386,RUS
14,257.5627604667669,259.0448886827458,RUS
15,99.75430435037987,101.79165265573694,RUS
16,221.50573271615752,216.41221663030302,NOR
17,269.44711547936697,270.9446204338559,RUS
18,289.59817931114844,305.8897971781305,RUS
19,297.78987474460627,318.8990401489873,RUS
20,303.06127447843136,325.95362752,RUS
21,279.4106404901587,274.37052631578945,NOR
22,156.8831898329149,151.81609827292596,NOR
23,233.16974604985506,243.54580670652098,RUS
24,275.3570774190714,281.2801937499369,RUS
