Minisector,HAM,PIA,Fastest
0,274.4340562678475,275.97321160620726,PIA
1,305.1213667562152,304.12584496975654,HAM
2,325.63344918874077,316.1956169974026,HAM
3,341.7678891404603,323.35808546031745,HAM
4,346.5148550551805,325.9721702912045,HAM
5,347.81688984761905,326.8091606855011,HAM
6,220.8613509182098,216.00754513157494,HAM
7,107.39220446414247,108.93695096437114,PIA
8,191.03689673089886,188.63564528496238,HAM
9,263.14632692172336,265.30511536931215,PIA
10,296.0110639589952,291.7677654780086,HAM
11,157.81081680510894,158.70213100329005,PIA
12,98.28607948993177,98.13263795379358,HAM
13,115.16212782263074,117.65171524149332,PIA
14,218.39771155169083,222.20310441823764,PIA
15,189.76728840131724,200.77902839373968,PIA
16,220.55644700606064,231.18812803053757,PIA
17,178.86847012689392,188.67304695294158,PIA
18,236.4634616321195,242.37150527830968,PIA
19,276.6858614480672,278.4656189340803,PIA
20,232.47807823597594,240.90698978259104,PIA
21,142.28350513763266,146.59455606301592,PIA
22,100.95229137312323,98.54445486708322,HAM
23,124.65771416809524,127.58785389533197,PIA
24,227.05301497973122,229.87179778958307,PIA
