Minisector,NOR,LAW,Fastest
0,271.92873250562195,266.1112676616462,NOR
1,251.46336912787092,245.68816444210026,NOR
2,118.53289174101741,116.82403325004103,NOR
3,169.14204519736035,168.03692894362342,NOR
4,196.97327890229278,187.97320432243595,NOR
5,195.03229650648203,189.83289055981186,NOR
6,263.4506924364626,264.4536625240931,LAW
7,286.1806043687619,285.0793555686495,NOR
8,224.97460080263954,232.24814951022773,LAW
9,143.52531568467106,142.42682868600969,NOR
10,112.15670925955258,109.59623102560647,NOR
11,153.89476226831042,149.06848687891204,NOR
12,244.35001243255863,240.50269104669036,NOR
13,149.90665412404994,147.3758533745502,NOR
14,141.31992613965,141.13801008329318,NOR
15,107.57995703240941,102.9028055947106,NOR
16,216.92314436097158,215.94300776145118,NOR
17,231.34475274891255,221.73324048050122,NOR
18,125.09902056703005,123.28307154917809,NOR
19,238.2244776518595,240.61135991093028,LAW
20,275.54628634324206,274.40367937176273,NOR
21,210.3959696152381,199.12200254788908,NOR
22,138.20433826753646,139.97735749893843,LAW
23,213.05959125090908,205.73758749127316,NOR
24,224.53894401135074,221.61956589274857,NOR
