Minisector,HAM,STR,Fastest
0,302.53079301065713,290.46477019083926,HAM
1,317.3267264186909,298.74204541090904,HAM
2,325.61163201666665,303.4564979326984,HAM
3,324.89805194805194,295.1833035009702,HAM
4,172.83554283342528,159.91549311731137,HAM
5,212.49898530714978,208.62309530257863,HAM
6,239.87015366875062,236.63583284977776,HAM
7,264.78811708883114,261.54356216142344,HAM
8,245.96807625055416,248.63779619560032,STR
9,160.70590884705882,157.21354401391758,HAM
10,225.4144917600058,225.6586923902208,STR
11,127.53918324297747,125.34250874173267,HAM
12,228.46854765874514,222.33829015110842,HAM
13,179.73307084952378,171.9488735162593,HAM
14,215.62397917124426,214.51319758527288,HAM
15,248.99439180654244,238.0077886002886,HAM
16,265.1992866989689,257.6618337649786,HAM
17,285.6380016888889,280.88228657944927,HAM
18,151.7923155745355,151.88283753882757,STR
19,168.15546318257253,157.55471262210116,HAM
20,139.35467191735586,137.52540718526376,HAM
21,227.79852463007214,223.03297607042717,HAM
22,260.9515335619048,260.3909128281934,HAM
23,249.8939166,249.7071884920635,HAM
24,271.9638568393746,271.55412110094585,HAM
25,282.2833333333333,283.9041664,STR
