Minisector,ALO,VER,Fastest
0,292.2503991029318,296.0934237600945,VER
1,301.6462602191597,305.97052637473683,VER
2,305.7182341663492,310.44483753616163,VER
3,291.07643589610393,302.78299319727887,VER
4,163.8154811465534,173.4882000860805,VER
5,213.91085209794343,209.57909073156137,ALO
6,245.4166257768944,246.24280780650037,VER
7,269.47676643598766,272.48849376752906,VER
8,237.40746326857143,248.99228298008657,VER
9,155.9397771292469,161.68861902390535,VER
10,213.57791961077012,225.19676054766163,VER
11,126.96050926336643,130.77657178380508,VER
12,224.16607979049658,231.20088956686868,VER
13,175.76329849317347,175.61577760371887,ALO
14,212.2141485625589,216.5352339500529,VER
15,240.13642641849717,245.28530632806547,VER
16,263.52235451225397,265.4747988238993,VER
17,287.6235505656678,289.5902338756848,VER
18,146.3784118164502,152.40979952269416,VER
19,163.39663206076423,167.12679420209574,VER
20,133.38429180446514,139.1629996566427,VER
21,229.4468735443537,223.6907765697234,ALO
22,262.64736096780354,265.8093057422222,VER
23,253.06367663058822,258.35855853187553,VER
24,279.02298107399463,282.3643360198091,VER
25,288.4214272,293.2833336888889,VER
