Minisector,PER,TSU,Fastest
0,297.4343625535353,295.7463637754459,PER
1,217.220113400685,200.87415475396807,PER
2,230.59439611989023,230.29751939050504,PER
3,276.53748987716307,275.1678074344194,PER
4,245.88681989594303,230.7382967798942,PER
5,132.57548787655284,125.36407309677442,PER
6,204.8404853186977,212.08786824036787,TSU
7,256.88269222890267,256.42143497910087,PER
8,262.27974260016896,242.01550053052526,PER
9,243.90101773253247,237.20437129258445,PER
10,277.36874772206204,273.37110863178856,PER
11,293.243062344696,290.7681794677339,PER
12,302.5405038059422,298.48864329142856,PER
13,307.2261140991087,301.52492957196444,PER
14,307.44779390802137,299.8013944239674,PER
15,272.7217119745992,254.88686328540393,PER
16,244.8154847352981,244.05687678572144,PER
17,278.84856654545456,277.1525178359486,PER
18,291.98757171437336,286.4196715125802,PER
19,157.23970126554192,156.32736331354667,PER
20,213.8587528707626,211.84651279618282,PER
21,198.76575114099916,178.5758377140774,PER
22,143.45771719852627,144.29740360284495,TSU
23,240.9222952992477,239.21744503180375,PER
24,285.33716978624335,282.0182992593743,PER
25,295.7500003555555,,PER
