Minisector,NOR,HAM,Fastest
0,296.0907203552655,289.0516921924515,NOR
1,302.8024150974387,289.7939480177778,NOR
2,150.91271980130153,160.1207960850315,HAM
3,221.03627418548953,219.25313897243637,NOR
4,278.5010917121195,271.22142415407404,NOR
5,303.2960168205128,292.208473574902,NOR
6,316.3901255927438,300.81406253333336,NOR
7,161.5524249513525,171.83416583190467,HAM
8,127.61890542730572,121.73660008709543,NOR
9,250.681250840859,247.06765478868078,NOR
10,292.1911960711111,282.2963250998946,NOR
11,307.77633907886667,291.42955263807596,NOR
12,143.2041850130657,153.73000094783487,HAM
13,188.2321623509435,182.00558771812237,NOR
14,255.8284328056003,252.4038526703896,NOR
15,198.72107680048643,209.04643231573334,HAM
16,212.600903829842,205.40883022764194,NOR
17,209.40283165897148,211.9418758775794,HAM
18,243.09334887822223,240.19016442670096,NOR
19,277.7404170074074,274.8584738509804,NOR
20,293.45226915495795,293.6669103033381,HAM
21,264.3641535554145,268.1562922317714,HAM
22,221.98069094488835,226.7599985429117,HAM
23,196.14862242112667,196.20639282747473,HAM
24,263.7186105765935,256.30994388063647,NOR
25,285.98000128,278.62619062857146,NOR
