Minisector,BOT,STR,Fastest
0,287.22437183673924,272.79639078717065,BOT
1,311.59523784873954,289.8743735017544,BOT
2,312.4605376627451,294.32587795087716,BOT
3,131.78668383420757,126.7246879331186,BOT
4,212.01502949600464,207.2014762553792,BOT
5,263.97618097513487,258.7370720077563,BOT
6,146.38990947030427,144.35855789778455,BOT
7,215.69516689066666,214.53731077159614,BOT
8,264.9554285139978,263.76919622857145,BOT
9,282.50621014984546,281.24886892952384,BOT
10,230.56141328695654,249.9707645828753,STR
11,190.09975243705304,185.96152869079367,BOT
12,207.03164050477494,199.14535203076923,BOT
13,148.72524297020084,143.01228321629506,BOT
14,189.34941618233793,188.32982231111112,BOT
15,176.0784545403689,167.49045745,BOT
16,229.7678822095238,228.60091754920634,BOT
17,249.31199616853198,235.87119611097307,BOT
18,248.91560651131832,244.09059267298693,BOT
19,236.9733496607018,230.41553207272727,BOT
20,150.97253696426532,148.957991149857,BOT
21,135.04886211113143,134.30222689382057,BOT
22,183.43536489195404,181.4244392766254,BOT
23,160.31096458499977,154.88483707136464,BOT
24,236.43003386666666,236.73779729177488,STR
