Minisector,RIC,LEC,Fastest
0,237.56488069596648,233.03800858478797,RIC
1,283.913571072,279.63896845206347,RIC
2,297.95394273524744,294.74292553713383,RIC
3,305.61818841043475,301.1020348837876,RIC
4,255.28802293086687,264.6879172388283,LEC
5,171.03420627772357,167.4081562528377,RIC
6,264.27771146808533,258.4117169582667,RIC
7,283.7213093973333,277.1345679802469,RIC
8,212.2112084985034,206.01832983731958,RIC
9,225.87968642380952,221.75839862763257,RIC
10,179.08061042666665,175.47305774143572,RIC
11,228.32652129160886,226.38839464696525,RIC
12,200.1538198814815,198.75359721104792,RIC
13,208.478617551393,206.84861872941588,RIC
14,221.03451814761905,218.46422655127142,RIC
15,179.16738393210665,177.28732771812554,RIC
16,249.22333149328853,243.66941170193704,RIC
17,288.2941837444444,282.5420001462857,RIC
18,301.59227997975904,297.64802382240373,RIC
19,292.0852356034973,294.98416661333334,LEC
20,130.31839360761307,128.77986317819267,RIC
21,150.92760897667634,156.33055344459925,LEC
22,156.4808233733448,148.51735689907542,RIC
23,201.87379234738702,200.90336697904763,RIC
24,150.90838655995344,147.23660176434586,RIC
25,,184.10833706666668,LEC
