Minisector,RAI,VET,Fastest
0,279.29682585396824,278.3952726510947,RAI
1,293.26416699428574,295.85768951150317,VET
2,243.36596873272583,233.62115223288555,RAI
3,117.0462905127933,115.71665541666941,RAI
4,133.09828580854273,134.3917652825397,VET
5,251.740356531677,248.20312484444446,RAI
6,263.5928738443832,255.96503638260867,RAI
7,125.56282805663183,125.38921182163705,RAI
8,246.45046701893986,246.62362845548654,VET
9,258.62162657460317,249.38861615238093,RAI
10,211.2895001496018,207.18526761904764,RAI
11,141.65242306031746,138.41374602702106,RAI
12,206.1546363319728,206.91348314398013,VET
13,265.5547053724435,264.94483295584416,RAI
14,118.93570559854575,117.24101275966386,RAI
15,186.92768003555557,184.35692847297676,RAI
16,258.3791346852883,254.15984863030306,RAI
17,292.21044683428573,288.16902876269006,RAI
18,307.59727469874684,305.58728061754385,RAI
19,314.38456334122424,312.9950397968254,RAI
20,315.87060183703704,317.27919135249135,VET
21,175.5575037365185,161.70352135449735,RAI
22,142.66315804225783,148.65214296284873,VET
23,202.62915817929826,198.82984579879536,RAI
24,238.89410396312627,235.26545895466668,RAI
