Minisector,PIA,GAS,Fastest
0,311.9285502630767,313.9495154410339,GAS
1,325.3626397025571,326.9908527769133,GAS
2,330.4895725873555,332.1793092524494,GAS
3,309.43756640699905,302.0510249341793,PIA
4,152.04591849456565,150.30644802365933,PIA
5,188.0227116693081,183.59334672020626,PIA
6,214.5399684065483,210.78085725372685,PIA
7,258.64938255530427,255.2149211169294,PIA
8,232.33484158640366,237.34454756616188,GAS
9,152.8992244157811,147.22542158855185,PIA
10,210.2783751525869,204.66221721552336,PIA
11,119.38070922882538,120.94770452550485,GAS
12,233.77940296858242,227.48493174195798,PIA
13,159.53075326930414,158.6393587484261,PIA
14,207.74535627400684,205.10739468692714,PIA
15,217.0384439092769,214.81481428928075,PIA
16,257.11083645873896,256.0963048396095,PIA
17,285.65502311024835,289.53033994811227,GAS
18,139.51376146033414,137.33366577956232,PIA
19,157.29352413215386,150.76015472307586,PIA
20,135.08286824109157,130.88241850221266,PIA
21,223.4232132126051,224.92220969415044,GAS
22,249.57755029659816,251.22606775191028,GAS
23,232.7383211696549,227.72304182711875,PIA
24,281.5413352543797,277.5460057862384,PIA
