Minisector,LEC,RIC,Fastest
0,266.7801472,271.43541223098913,RIC
1,292.3336474867248,298.1121874666667,RIC
2,304.77818631215683,309.3119615704615,RIC
3,314.63031997142855,319.38589225589226,RIC
4,320.2741319111111,324.494022269697,RIC
5,321.8352232285714,327.1218333155556,RIC
6,201.85364502470668,193.71026682687747,LEC
7,104.26816601245837,106.03509088396694,RIC
8,178.72832337737287,184.11374892785636,RIC
9,255.02129641481483,258.84434048888886,RIC
10,285.69047636825394,288.9251035813485,RIC
11,165.79838303821882,159.25223746859837,LEC
12,95.9591575574621,98.31252657230266,RIC
13,111.04326089740381,114.30623740884407,RIC
14,213.46601363014491,216.31040129624554,RIC
15,185.29857896693173,181.16659650174842,LEC
16,222.07880523636365,212.17471196432902,LEC
17,172.7916894065934,175.15887642050373,RIC
18,234.11162185785125,234.84300142516292,RIC
19,272.8931621495238,277.5739428727847,RIC
20,241.77863408521304,250.25669951936686,RIC
21,144.95410120364656,145.6888604173975,RIC
22,94.8015043621483,94.67593441942648,LEC
23,122.30965821617428,123.02397037017467,RIC
24,218.6232630233766,216.09494725726327,LEC
25,251.62,254.58125,RIC
