Minisector,VER,RUS,Fastest
0,298.6698245392761,300.5682144454581,RUS
1,196.18652925802084,189.33378183889255,VER
2,224.5127634569121,219.79446824998433,VER
3,273.8745637001698,276.6176866676223,RUS
4,247.6850655730032,228.99886166003702,VER
5,127.49866052326523,124.37511196437053,VER
6,206.5330985210628,203.87883494945254,VER
7,249.9807471236175,239.08772608857188,VER
8,231.01889898923767,236.26056991619896,RUS
9,225.02026225574969,226.46116696543885,RUS
10,273.30414043484734,273.2150347796582,VER
11,290.03887109360693,289.73115356286996,VER
12,298.6496419390391,296.4746942399718,VER
13,300.33111669043205,298.92778810372727,VER
14,302.06294896036724,297.73357142857145,VER
15,234.49015967189877,227.56901305677488,VER
16,228.94513377390032,226.90821337740826,VER
17,273.79664137677906,270.9428997579742,VER
18,289.93467337038976,285.48652090637495,VER
19,144.59583781642175,139.6030917788288,VER
20,210.77976598785898,195.4431641573585,VER
21,173.3356025987018,184.10726748435414,RUS
22,146.84242886207275,134.72808346515114,VER
23,242.1764317543425,236.83597061142112,VER
24,284.56654563754523,283.26758903091195,VER
