Minisector,RAI,PER,Fastest
0,296.0720760981288,295.64313725490194,RAI
1,306.94611107555556,302.29222293333333,RAI
2,170.01679199616174,164.7033048275862,RAI
3,230.35118958730158,225.15619273623096,RAI
4,284.79236990156073,279.8638603086421,RAI
5,303.23422605714285,300.4488888888889,RAI
6,309.890625,308.2997396,RAI
7,177.31704328894307,167.3038710138476,RAI
8,132.714963412128,135.02344474177977,PER
9,256.002394369884,254.57870370370372,RAI
10,287.4477178565079,288.2716144666667,PER
11,299.2546568853312,296.1440104,RAI
12,153.77609770733042,142.02291639215687,RAI
13,193.70889493959683,200.2396637630138,PER
14,264.7362455483512,262.7074074074074,RAI
15,208.61179835151515,190.67093115051844,RAI
16,224.0427852184333,218.6668648126984,RAI
17,218.10227345454544,208.43068218181818,RAI
18,246.61907811929822,241.4213616629283,RAI
19,280.0714700423529,278.4390871534391,RAI
20,297.3296872,292.7888020666667,RAI
21,266.82526213333335,245.743934114936,RAI
22,231.51901625955577,209.38623248695652,RAI
23,211.59239058550725,204.2076310217996,RAI
24,270.07972242067194,269.3463231372549,RAI
25,286.5249984,,RAI
