Minisector,PER,HAM,Fastest
0,250.63803089972313,261.85743969976176,HAM
1,128.70575894398368,132.0878381482539,HAM
2,257.54031985401554,266.1181029934868,HAM
3,297.80522379792586,308.1028627637607,HAM
4,295.85741710512474,305.56057341177745,HAM
5,304.7141858105983,309.08496736845376,HAM
6,310.01573959969863,312.80523074056,HAM
7,310.2651707821906,315.154040738107,HAM
8,188.48116602081768,202.4963233065263,HAM
9,192.31042137657306,196.94655701949458,HAM
10,187.45751190266375,192.9437229061609,HAM
11,169.1812352451723,171.42271642541883,HAM
12,249.30527602333666,255.81864195341223,HAM
13,270.2669237794264,282.4883526746073,HAM
14,272.1485861237732,281.909675373545,HAM
15,271.610202799093,281.7038590041265,HAM
16,180.50124567609686,183.23644599323495,HAM
17,177.98300647786624,196.88093097755436,HAM
18,231.9004931276551,235.82424095549717,HAM
19,283.9648265358824,288.6663836509525,HAM
20,305.90274386879406,312.5113680888571,HAM
21,313.87750630468133,318.8162231204662,HAM
22,315.06290749655676,317.03121894179895,HAM
23,258.75953294863103,263.3783111870255,HAM
24,113.78669154201681,106.52563211643462,PER
25,,224.5625,HAM
