Minisector,PER,GAS,Fastest
0,290.70773720474307,283.9668939393939,PER
1,168.7522717838471,155.84883738349708,PER
2,169.4308009056956,173.32377103193278,GAS
3,253.06197973190805,251.88371936907828,PER
4,288.88089034825975,279.79941379518453,PER
5,255.3402443894346,243.5622453548896,PER
6,227.22957825800864,218.92915549302833,PER
7,153.37076327215314,149.41309416081907,PER
8,224.64164938119148,224.8603094074074,GAS
9,280.65515687860926,279.85738092698415,PER
10,300.71560709956714,299.0067505629146,PER
11,309.7414248547279,308.229644089685,PER
12,312.4331140491228,309.87083333333334,PER
13,308.7440260796372,301.08889111619044,PER
14,139.1760674136744,132.72995169557868,PER
15,120.10754292696613,121.20224781365552,GAS
16,98.26711478037784,101.14686718160758,GAS
17,232.26674003431174,227.50831510553974,PER
18,285.449057283958,284.7925256762555,PER
19,310.0192933677823,306.3129972268935,PER
20,319.58169451555557,316.5473376480994,PER
21,323.3860227239506,313.75847597071896,PER
22,128.547052654325,115.52294270377803,PER
23,203.2709229237839,194.999330151231,PER
24,269.38200145463344,267.188310103404,PER
25,284.22000128,281.0,PER
