Minisector,NOR,GAS,Fastest
0,302.7773359030303,308.6804200599066,GAS
1,230.78187451481824,210.6108808121212,NOR
2,135.63890714124778,132.80813128259499,NOR
3,219.24820695804368,216.63268126718614,NOR
4,264.13890248804233,263.2962711835603,NOR
5,287.14950534253967,290.87625915555554,GAS
6,300.0305273703156,304.44149682176874,GAS
7,276.69231821027074,262.30470916250476,NOR
8,173.23310789082825,165.5029683925503,NOR
9,241.1883994259321,235.34725232479963,NOR
10,274.3091077851429,271.4359700412199,NOR
11,273.7088215051543,251.1699586369925,NOR
12,220.78412440071773,196.84398458871345,NOR
13,132.71382018717725,119.94326124819047,NOR
14,126.5498895607444,120.88228609440077,NOR
15,168.71691884813393,160.11363533985923,NOR
16,126.16280757651872,126.19256940732198,GAS
17,234.4353022576441,222.79994196970685,NOR
18,179.58409553627777,166.98981447941034,NOR
19,161.09130422179894,154.08141143386038,NOR
20,248.94252452562193,245.9043749751684,NOR
21,276.4327765900187,279.94230796867726,GAS
22,291.19774010753247,302.86007362550544,GAS
23,299.9904433038184,315.6633185714286,GAS
24,302.6290102320921,320.93985689918696,GAS
25,304.0,,NOR
