Minisector,GAS,OCO,Fastest
0,145.02994233711902,111.75846763967861,GAS
1,137.11697255915055,137.63066666666668,OCO
2,164.95714170666668,142.16744638067877,GAS
3,111.13767180529986,162.64853067110977,OCO
4,145.24422753126294,132.30734681231368,GAS
5,183.40372425535085,147.0582969359001,GAS
6,163.56446595996522,169.04561403508774,OCO
7,137.44905786644466,176.71900561206763,OCO
8,145.95652173913044,143.76812338801142,GAS
9,143.67401619470985,154.75872832702927,OCO
10,145.24419888228255,138.24351392539683,GAS
11,166.52820691573115,133.56828749215845,GAS
12,135.6091978226868,163.84972183801332,OCO
13,172.73333333333335,130.5471630621337,GAS
14,178.17383926164624,170.17276752810272,GAS
15,176.28824829578915,165.72907868952382,GAS
16,135.02562837867518,159.98968162539683,OCO
17,90.65972677953089,141.32061888237416,OCO
18,106.67994182703121,74.33716772632886,GAS
19,117.67174597536301,140.4825791337474,OCO
20,127.77729211710758,151.83957703128524,OCO
21,171.02399509974938,125.9650820988354,GAS
22,144.5955685510921,191.60272175705242,OCO
23,135.86066500266668,145.10229979675046,OCO
24,178.84780625964913,131.58598395151515,GAS
25,183.9749984,,GAS
