Minisector,GAS,TSU,Fastest
0,271.02812565333335,266.9601931368936,GAS
1,287.56362214783144,286.0289472,GAS
2,295.0426891931793,286.95005274028955,GAS
3,133.95508682009483,122.15046369185185,GAS
4,200.45387647760313,193.51610300418938,GAS
5,258.01666732698413,244.50924032132502,GAS
6,151.35408740465772,135.29744714678992,GAS
7,204.97667608905445,202.37762157037037,GAS
8,258.04947632531685,256.6298087155821,GAS
9,278.8114037894737,276.5589601122807,GAS
10,249.62644851014494,220.5653196763199,GAS
11,187.27542977996717,171.7930669659517,GAS
12,194.84273609881,191.529052198236,GAS
13,156.3211464084656,141.01239114185464,GAS
14,185.58272883298105,173.67275956,GAS
15,169.25340548263222,160.32116585770308,GAS
16,218.5622854672824,219.8937288647619,TSU
17,242.76332023412263,223.50950058666666,GAS
18,243.08344268744588,234.9467605419984,GAS
19,250.9399324883613,224.163667584,GAS
20,146.8726856888889,144.9567757513827,GAS
21,142.9485289293319,129.3157742585034,GAS
22,175.65827502474409,173.06727963962976,GAS
23,157.3555139136058,150.38692232724304,GAS
24,232.70687854035785,229.3020828121212,GAS
