Minisector,PIA,TSU,Fastest
0,301.2524158813096,298.5376438151378,PIA
1,199.62330036145858,211.51208659944376,TSU
2,236.03623348053333,229.62388776644883,PIA
3,279.9132611963709,275.14723690314344,PIA
4,238.31397577885224,239.32997150227717,TSU
5,129.66536719063325,127.78045488839199,PIA
6,223.15131240551764,213.10434458295785,PIA
7,268.9375859063102,259.5107887522078,PIA
8,252.5363116856543,244.98473945333333,PIA
9,250.1593874609072,239.9108595958492,PIA
10,280.17433708259745,275.76176729285754,PIA
11,295.01169942689495,294.3062003221109,PIA
12,305.02270921625393,304.14115233444653,PIA
13,309.6212120242424,307.6306818181818,PIA
14,308.41293866666666,308.44686294441556,TSU
15,270.678614040381,258.3945318004865,PIA
16,253.32322842080785,240.6184132936899,PIA
17,283.46486187247166,280.3165667784127,PIA
18,294.40463902056825,293.6736169982829,PIA
19,155.3005154443908,166.79141965850485,TSU
20,213.57391159586493,207.09080533063727,PIA
21,188.24514302205293,191.63397467193985,TSU
22,138.31533166975507,136.92751296673015,PIA
23,238.12001956234218,239.70696359122152,TSU
24,284.21977788011844,283.09459729142856,PIA
25,,294.9613632,TSU
