Minisector,RAI,LEC,Fastest
0,299.07618435741057,302.6308503715547,LEC
1,157.1066173424036,160.2536069379791,LEC
2,157.87976104126983,160.97845853316144,LEC
3,216.13901273629216,203.42355735187573,RAI
4,283.11979202424243,278.438224742029,RAI
5,295.0141974668618,293.28996174545455,RAI
6,145.7584024462385,149.879896421475,LEC
7,139.75593539448718,140.62839117976864,LEC
8,152.28689847887946,162.51380457333445,LEC
9,169.43433603084358,156.5106708094998,RAI
10,136.06053466230648,138.05603514266005,LEC
11,129.51287494568433,129.35423535070584,RAI
12,157.79074068142353,147.25574435863885,RAI
13,263.359417248,255.71229230869764,RAI
14,289.67585195151514,282.7298914318841,RAI
15,154.17336076285142,153.44341025736432,RAI
16,213.274633947995,208.26056428158512,RAI
17,159.6191866198843,157.48617246380064,RAI
18,264.79321342721215,258.06366617142857,RAI
19,287.22492864262057,282.36813005079364,RAI
20,299.5282564882507,293.041335369697,RAI
21,306.5339568181406,302.0785714793651,RAI
22,310.32066326349207,307.0239583466667,RAI
23,313.9,310.56439393939394,RAI
24,310.81090861026433,308.0124999619048,RAI
25,311.0,,RAI
