Minisector,PER,RUS,Fastest
0,269.7806255418256,274.15214708844377,RUS
1,300.07371066666667,308.4852278630065,RUS
2,321.06149357564425,322.9107841172747,RUS
3,333.0429398192092,332.5027321766378,PER
4,340.8208547938462,337.6976665315555,PER
5,345.73781244571427,340.8097833943178,PER
6,221.3726120810729,199.99603892467235,PER
7,102.62560044316633,106.22870932765633,RUS
8,179.73868287647963,188.33887368989153,RUS
9,260.2964750723597,262.4194090321085,RUS
10,297.23272686545454,297.6313982501842,RUS
11,169.19537045532851,173.35601518603707,RUS
12,95.4422718168413,97.35229948263179,RUS
13,109.95170995713198,120.89522312484704,RUS
14,215.325688696,221.9523539347824,RUS
15,181.18711699807778,186.78938316413212,RUS
16,219.33758023659908,227.33190281544253,RUS
17,169.2873116961134,181.58203217428573,RUS
18,224.5839877523221,239.51011376000002,RUS
19,274.102151648254,279.7337906813235,RUS
20,239.55021434052802,248.3190542717845,RUS
21,145.11986366350047,145.79432532404843,RUS
22,94.25943294408506,96.68494758997943,RUS
23,118.99136039796397,127.27766929563036,RUS
24,220.95803802222864,222.8027277568,RUS
25,253.1,244.0,PER
