Minisector,NOR,PER,Fastest
0,263.01740203921565,261.46597202962965,NOR
1,139.32890852891057,134.16935360000002,NOR
2,197.9115950730159,195.45545875287166,NOR
3,248.93120134754506,243.84188928158224,NOR
4,261.76953166666664,261.4979365079365,NOR
5,187.4430589482669,190.0013608372596,PER
6,149.80770146095463,148.64664869700175,NOR
7,184.81457387977335,186.19927536231882,PER
8,103.6238545634812,104.2491200220882,PER
9,78.20771525298507,78.20907535864916,PER
10,93.88781188040417,96.8887580975066,PER
11,172.67106489772257,180.5598484848485,PER
12,245.45915975394917,243.65882352941176,NOR
13,271.46086790404695,267.46769446660767,NOR
14,279.7611117511111,279.58222222222224,NOR
15,120.96659408073516,113.9761103324781,NOR
16,132.49909070015838,142.74795029891115,PER
17,195.93198737430635,195.54782608695655,NOR
18,202.3949076661778,198.08671494393602,NOR
19,225.22238893544974,223.43684210526317,NOR
20,137.50337757006818,132.99900517255298,NOR
21,119.83637872761904,115.7854409496559,NOR
22,89.98765470949458,94.09660589034708,PER
23,196.269110641215,195.58968253968254,NOR
24,252.28480451764705,245.27542318595962,NOR
25,262.2416661333333,,NOR
