Minisector,VER,ALO,Fastest
0,270.96468246349207,268.82857122539684,VER
1,298.24549548513164,292.3141217311016,VER
2,316.9817703333333,304.85177049957235,VER
3,328.96432543091976,312.11778711484595,VER
4,335.6689682387302,316.776302,VER
5,339.0835938,321.7516910911872,VER
6,228.95367138911752,208.10224370402932,VER
7,108.12847001342439,107.52200735593662,VER
8,182.41062961373606,184.81098237611698,ALO
9,268.4563082819048,259.8519995640631,VER
10,302.0258434202037,289.8054823859649,VER
11,178.33244403946992,165.2072486231552,VER
12,98.78339865214603,99.61331375672046,ALO
13,116.38300181962651,116.08046729522793,VER
14,225.3182117161348,221.04202126058016,VER
15,191.7309061108757,191.69120331851852,VER
16,232.81889722371037,229.2092772809638,VER
17,187.33056687455118,184.96652259310343,VER
18,238.87335302034714,236.66536114199496,VER
19,280.44892100048713,277.8053019875443,VER
20,261.5468253968254,253.6928307011338,VER
21,152.1855822043948,146.68508271134488,VER
22,99.40314405921416,95.86974031169436,VER
23,126.67288565913448,125.46263057844945,VER
24,225.40264282671262,223.03359559393255,VER
25,256.8624992,252.7624992,VER
