Minisector,OCO,STR,Fastest
0,257.09007261176424,252.65856504527576,OCO
1,205.868289015873,206.47441989177204,STR
2,216.5300845596457,216.19045992397696,OCO
3,254.48505438256356,260.343011495445,STR
4,273.66000041813334,275.0070869354307,STR
5,218.1491584251768,221.6988452947603,STR
6,94.00908797981867,95.97774985264486,STR
7,181.5942838270026,176.69251735827217,OCO
8,267.9126049423616,264.69207992085745,OCO
9,290.8970488,287.14775221753524,OCO
10,300.1189353438228,295.122159030303,OCO
11,300.28387626666665,294.1763141466094,OCO
12,110.76177790991935,141.31124776825396,STR
13,214.38401596598746,213.35950482951554,OCO
14,275.787500416,274.30369522031174,OCO
15,297.37027611775653,292.7946804011577,OCO
16,216.99179083636363,196.94468873295875,OCO
17,121.59910486513773,117.58560943855677,OCO
18,151.4192916369698,155.5948065397339,STR
19,253.5015436472663,253.70796476617465,STR
20,158.4210967321212,148.7624070328934,OCO
21,127.24340884864483,124.59033646701607,OCO
22,200.70914587782988,206.75971592106717,STR
23,201.85402523890332,198.95254037482673,OCO
24,165.14692917561763,162.9975449241048,OCO
