Minisector,HAM,RAI,Fastest
0,280.79416289352554,277.6864584789372,HAM
1,291.1467578493402,296.33082921862217,RAI
2,241.82499261943641,227.81662167812377,HAM
3,120.68085927130522,118.80436220597434,HAM
4,141.56940957644466,138.72381235513217,HAM
5,251.10639140975945,248.53275025103815,HAM
6,252.05562813224233,255.78095745594572,RAI
7,128.56508079282332,127.35504104585472,HAM
8,247.81308235867928,244.6337139643728,HAM
9,262.9363870537199,250.03490140507404,HAM
10,212.4265987861791,204.762627251589,HAM
11,148.74826254561341,143.13595916768676,HAM
12,213.38340035399833,209.30293920734746,HAM
13,256.72586682654963,256.3367543361849,HAM
14,119.87472838517049,114.46241520731226,HAM
15,200.6461488873795,191.14081655303445,HAM
16,259.41155381965933,254.43319491161432,HAM
17,285.98079618180344,283.68280810667164,HAM
18,296.0544325677949,295.8433262531679,HAM
19,301.54348226156367,303.26022883864096,RAI
20,299.1014208653101,305.25748324032054,RAI
21,164.64301790387924,160.4115403746466,HAM
22,152.7946846496559,156.41608127042866,RAI
23,205.54997037119534,191.00401186562686,HAM
24,239.2775090093264,232.70543511788307,HAM
25,268.5833322666667,,HAM
