Minisector,PER,ALO,Fastest
0,298.8965482242157,293.5243058984127,PER
1,237.62630010677952,245.80044673094017,ALO
2,191.57249593997113,194.3479512859896,ALO
3,262.14178428279394,261.8579172644571,PER
4,219.2848662512619,226.526088266882,ALO
5,109.39415515431543,112.39857381946638,ALO
6,174.62902343645996,168.44020283426798,PER
7,258.7211670042452,251.94051284981686,PER
8,293.17002371577513,285.52364429429394,PER
9,308.6690031211362,301.3523717183626,PER
10,315.78444044419047,306.55833281038963,PER
11,222.82038472409567,237.2266005846154,ALO
12,137.7906194103592,139.25190063358923,ALO
13,254.05180110002425,253.11547830902433,PER
14,293.6065766145184,287.127289140959,PER
15,306.4064655752804,297.32407106762867,PER
16,302.00153508771933,288.0565949087076,PER
17,253.0333413094231,255.9038341924579,ALO
18,178.8600014459966,177.46232472323052,PER
19,169.99783153902573,181.0399607641634,ALO
20,174.50838492718728,175.10719804674963,ALO
21,235.25429028647193,242.24318165876278,ALO
22,118.67777862467156,117.3964854004545,PER
23,200.51585508916244,187.57724768857295,PER
24,277.43469787583547,272.1174713701903,PER
25,,285.8125008,ALO
