Minisector,STR,VAN,Fastest
0,319.2011054367347,294.1003607652174,STR
1,160.81107572032522,155.1585739531888,STR
2,194.61385833736986,152.382298332693,STR
3,156.45444467988278,219.23029727422002,VAN
4,276.4173621333333,281.7452349796368,VAN
5,307.40703466589974,285.6942017590062,STR
6,158.52934346542588,143.31446668416672,STR
7,133.3625908105029,138.0725601451943,VAN
8,192.71640628368698,152.52330031889394,STR
9,124.59799275664369,172.2932930522774,VAN
10,167.1440372987101,130.51831468698236,STR
11,130.87178584419095,126.17602279131631,STR
12,121.50683966181995,154.67344905084673,VAN
13,249.45858197025908,260.9531528390346,VAN
14,284.0138119334434,278.7845239122153,STR
15,203.38234089097935,151.5082868684567,STR
16,164.86146790768336,210.3038043957889,VAN
17,153.26235642170542,153.2547637655292,STR
18,247.15011959688897,262.04254009724406,VAN
19,291.8305073354539,286.829681068708,STR
20,304.9557537015873,297.2034088242424,STR
21,319.91374976000003,305.73372593089925,STR
22,327.87789863420085,311.558712,STR
23,340.0407892210526,314.5788094628571,STR
24,339.45568427750567,312.65875013333334,STR
25,335.63598377451416,311.0,STR
