Minisector,OCO,STR,Fastest
0,298.67734055362706,304.95978258550724,STR
1,279.92037037037034,276.819532359599,OCO
2,171.32071414768342,162.17036121769033,OCO
3,199.14393936161616,199.18861956478278,STR
4,221.73352863025158,231.64735279686275,STR
5,266.7221666986667,268.6311442821554,STR
6,226.90827808479096,222.05443082740945,OCO
7,208.11015646666667,202.16607989120592,OCO
8,164.2249009168254,158.99066258991542,OCO
9,173.37051366290598,174.65504809876504,STR
10,176.1562812631579,173.81695627001878,OCO
11,205.06280356979377,205.2705615065329,STR
12,237.45743996190478,235.4795310683197,OCO
13,164.89841383858985,166.16058123936804,STR
14,244.28445885440556,247.67302953529997,STR
15,271.56457141028574,277.4327380952381,STR
16,265.122487493584,266.5738781948718,STR
17,257.34221727665727,256.56132798891116,OCO
18,247.7558203823633,245.56592262857143,OCO
19,243.53731703363226,243.29480162371073,OCO
20,258.47500023466665,258.9425925925926,STR
21,195.48539332387872,234.29278244672315,STR
22,211.8634175849624,226.65723167739597,STR
23,273.20523591587664,265.4542077100201,OCO
24,291.6198165904762,291.8708893619452,STR
25,,299.7770834666667,STR
