Minisector,LEC,OCO,Fastest
0,269.6220767314286,271.9698804194486,OCO
1,298.4594295755032,299.33331955635157,OCO
2,312.6190903727891,312.23575794832954,LEC
3,321.15029179580955,318.6516607552448,LEC
4,324.9005005244435,321.5081844952381,LEC
5,324.3513323660151,323.5110116525821,LEC
6,208.27471053510692,199.48362736441103,LEC
7,108.38477089022898,103.83168437478547,LEC
8,179.7937712417112,189.5281592351117,OCO
9,258.67246358919397,265.80690844012497,OCO
10,288.5097391507003,292.91910506712844,OCO
11,161.83063454636394,151.48016626994803,LEC
12,96.30327085932544,94.33498031324223,LEC
13,110.08722144267053,112.52572718207448,OCO
14,221.2473834752532,213.55485172521583,LEC
15,185.34776656644686,189.41066221663493,OCO
16,225.22781426937044,225.86183592015166,OCO
17,177.63993181704518,179.64164007280422,OCO
18,227.98628662932066,242.6474873795649,OCO
19,276.66796394052403,282.17346409721415,OCO
20,258.8334298129323,241.6058861246414,LEC
21,147.96111690715824,143.94340415412307,LEC
22,95.07138157296761,95.37029915851224,OCO
23,121.73475718036158,123.48392721680337,OCO
24,222.1569148695238,226.8069205642956,OCO
