Minisector,LEC,HUL,Fastest
0,247.29678643094667,250.42127790225953,HUL
1,285.14054926843477,286.750568329697,HUL
2,182.87598439564442,173.2880276060037,LEC
3,160.80587557764704,160.55306237353383,LEC
4,254.8544009504228,257.3598581655065,HUL
5,275.16915158673044,272.27580260481795,LEC
6,247.93502241937426,240.87789786144182,LEC
7,219.55078727807197,208.6014394631796,LEC
8,159.39516788185654,161.14003919830688,HUL
9,206.49917506584183,216.28580628430643,HUL
10,268.4913562050575,270.5825480966183,HUL
11,126.60333968787809,115.84173952744831,LEC
12,208.9966813677515,216.945008046541,HUL
13,275.5211665236975,278.0193802869422,HUL
14,297.4301895031397,298.04477294203207,HUL
15,309.0197284462064,307.110326843637,LEC
16,248.71877022966058,237.56738442051284,LEC
17,125.56693069917986,129.3987567248946,HUL
18,127.98383819101676,130.98682035440078,HUL
19,117.57194252874243,123.42327809552464,HUL
20,227.09148223692424,230.92766146515402,HUL
21,259.73311722943725,262.81972877640004,HUL
22,241.06154232996724,236.2879172147667,LEC
23,218.27999449744067,217.72613665562588,LEC
24,136.45577947451793,142.26522841368418,HUL
25,,214.2750048,HUL
