Minisector,GAS,GIO,Fastest
0,308.1671951601793,314.86064667745853,GIO
1,236.53392401507259,223.5807135063403,GAS
2,138.36779629854186,135.35458538965736,GAS
3,221.29338647606815,221.9995123073441,GIO
4,264.9211996349793,265.9213130588566,GIO
5,290.8878866601117,291.6825038545855,GIO
6,305.6902815445364,307.2682692923077,GIO
7,283.9615150573575,281.54020547565705,GAS
8,176.27634788857736,166.559617754912,GAS
9,242.93462156182073,241.72701646515446,GAS
10,277.2153158972096,275.8741295053091,GAS
11,259.32084427434984,260.0567098613117,GIO
12,204.39516181285617,203.86876503225287,GAS
13,131.4243110420325,124.33234095602532,GAS
14,123.43054292000646,127.98194254058123,GIO
15,165.51241968012494,168.90533530295937,GIO
16,124.79093521056956,124.00479110100602,GAS
17,226.57553187766413,235.47155557004766,GIO
18,188.50863617511152,180.97355788149187,GAS
19,164.78591122085456,163.0411848058407,GAS
20,249.7618524881719,250.22892203503045,GIO
21,279.4822929093231,278.94211362194994,GAS
22,294.01124107659996,299.7390767415378,GIO
23,302.12777799111115,317.9284220060173,GIO
24,305.55503363438004,329.74416668444445,GIO
25,,333.4291669333333,GIO
