Minisector,RUS,LIN,Fastest
0,117.04362431826559,163.24862544,LIN
1,160.37087361670635,127.38370064421052,RUS
2,204.82967916748922,145.9212269470133,RUS
3,224.2409642112554,189.36571385904764,RUS
4,258.04511748195614,212.0,RUS
5,277.99786446162466,207.36824231828564,RUS
6,289.35562511999996,112.10053242084157,RUS
7,297.12333030352505,121.2071048630303,RUS
8,269.36071825900126,167.02129625679012,RUS
9,246.93678208,158.7819647477551,RUS
10,198.77835419826087,141.3483872344086,RUS
11,200.06458337777778,145.81976289032258,RUS
12,182.25237766658074,138.51253908463949,RUS
13,135.82541979350398,175.82386711521366,LIN
14,146.89000192,207.99571433142856,LIN
15,190.36771026666668,241.46613102999456,LIN
16,222.03508485537992,248.6717104374269,LIN
17,168.33518472853754,206.9268452359672,LIN
18,108.24624255311709,192.23676732767674,LIN
19,145.22102283636363,219.20957770389612,LIN
20,189.81675515555557,245.9766666666667,LIN
21,170.74503870306876,266.59357980444446,LIN
22,159.2936809255914,261.17352182857144,LIN
23,147.97164750957856,194.73497120914286,LIN
24,178.73461612307693,123.46833408,RUS
25,200.4193627711856,,RUS
