Minisector,RAI,OCO,Fastest
0,296.0720760981288,290.98906213333333,RAI
1,306.94611107555556,301.72662856666665,RAI
2,170.01679199616174,158.4149164001242,RAI
3,230.35118958730158,222.0687136721885,RAI
4,284.79236990156073,276.6271941904762,RAI
5,303.23422605714285,297.0926820685961,RAI
6,309.890625,305.5030555022222,RAI
7,177.31704328894307,170.7282435879827,RAI
8,132.714963412128,129.96387737917982,RAI
9,256.002394369884,251.34234292765254,RAI
10,287.4477178565079,286.23958319999997,RAI
11,299.2546568853312,298.04305557333333,RAI
12,153.77609770733042,150.19584981999571,RAI
13,193.70889493959683,194.6949347451381,OCO
14,264.7362455483512,261.8320406020577,RAI
15,208.61179835151515,191.14279881893606,RAI
16,224.0427852184333,219.15917942523993,RAI
17,218.10227345454544,208.02424281212123,RAI
18,246.61907811929822,241.87668486420708,RAI
19,280.0714700423529,276.05931356862743,RAI
20,297.3296872,292.7049007746031,RAI
21,266.82526213333335,254.09604133837107,RAI
22,231.51901625955577,218.30634991746032,RAI
23,211.59239058550725,203.22101430724638,RAI
24,270.07972242067194,268.0341624115554,RAI
25,286.5249984,,RAI
