Minisector,GAS,PIA,Fastest
0,294.7827147511062,294.50059119238097,GAS
1,302.518541592381,300.8542238857143,GAS
2,224.16433979048756,218.42486077660135,GAS
3,135.05256589511214,142.43116125300682,PIA
4,216.25035410330412,219.8044772129443,PIA
5,165.30483578770662,164.22795477121693,GAS
6,169.48833990587147,169.8363388163041,PIA
7,248.18467959123808,250.37842118736842,PIA
8,278.13452337665444,277.32213215596636,GAS
9,287.38153989967844,285.64643786039215,GAS
10,258.0165205866667,264.5476601541736,PIA
11,238.45133271640603,236.5718618783151,GAS
12,241.6194122011191,240.05257543090318,GAS
13,212.79978721220198,208.16335243384515,GAS
14,132.40469407592852,133.92553077925925,PIA
15,138.80090129260068,142.82030160813133,PIA
16,167.73786661478456,166.7906474962963,GAS
17,252.91037611669435,246.41532301497526,GAS
18,254.85227143728176,255.17240441584076,PIA
19,115.68286487840494,117.20634217550386,PIA
20,187.43585004036618,184.70034049185185,GAS
21,195.1984404670602,201.96512240027525,PIA
22,232.59580265758734,227.09040360743762,GAS
23,269.4358116658462,260.92770495938424,GAS
24,293.0837446596248,281.1677444883958,GAS
25,,289.7053568,PIA
