Minisector,VET,HAR,Fastest
0,306.8757593212121,281.9559041333333,VET
1,162.19166740666455,155.86683769076245,VET
2,164.19592126871743,154.91366917223166,VET
3,210.39488031899046,219.44726786206897,HAR
4,280.87922860845583,281.2111382392725,HAR
5,298.38679109185955,291.7507579636363,VET
6,151.01467905852078,147.5938022278944,VET
7,140.848924871978,134.66567355555884,VET
8,164.49945780408828,144.63446562397706,VET
9,155.845714706715,175.12491984135897,HAR
10,138.08027205129272,128.89168212419662,VET
11,129.146442986224,121.90562815422652,VET
12,151.09965799179622,160.11694542517344,HAR
13,261.5499135555555,260.6217137127619,VET
14,290.0327941646508,283.33220917073044,VET
15,156.86934417777778,147.9741699690626,VET
16,209.19423022053277,203.44294448172045,VET
17,155.23183074289884,158.4584278350219,HAR
18,264.9690398095238,263.50308923607804,VET
19,289.08513783775015,285.9242423272727,VET
20,303.02341737835496,297.5538763803348,VET
21,314.01812501333336,303.663123446712,VET
22,317.7177633395111,308.10204080181404,VET
23,329.3936608457143,311.9900703412054,VET
24,334.4936251077459,308.6255681939394,VET
25,330.3083338666667,,VET
