Minisector,ALO,NOR,Fastest
0,293.6317923641311,279.5681953316017,ALO
1,151.59169416278402,154.15493791535638,NOR
2,136.68888303955893,148.6314690246691,NOR
3,221.0967577232784,222.7840303466428,NOR
4,285.23380000000003,278.93313288195003,ALO
5,280.49583561571717,275.89417226179893,ALO
6,136.58275762045926,138.9396024858884,NOR
7,136.72686591026837,133.48254075378628,ALO
8,135.64403532459767,142.98267659386875,NOR
9,179.95597213465848,174.53652666408678,ALO
10,130.82630094489355,125.38455407606897,ALO
11,117.23307650771709,122.07387483887823,NOR
12,161.99786249593183,155.33256691389053,ALO
13,266.6954664695886,261.38921223397404,ALO
14,288.60275254949494,283.16528965158034,ALO
15,146.71139038829858,142.9438973714802,ALO
16,206.3335643340606,204.8559136364631,ALO
17,167.40582067974768,166.34134440958306,ALO
18,271.40686342273307,265.4791038825056,ALO
19,298.52264177922905,287.8460179144749,ALO
20,313.1017542545455,301.37641316836437,ALO
21,321.5717354516452,310.75905328545076,ALO
22,324.6469576888889,313.50602272969695,ALO
23,326.70797622857145,313.9706228194112,ALO
24,321.9429834054834,311.4454678818407,ALO
25,,306.0,NOR
