Minisector,PER,SAI,Fastest
0,291.8805278734288,289.37292227004644,PER
1,299.70472746666667,294.04415967764174,PER
2,164.7868856979581,164.49318579584414,PER
3,223.9550864529323,222.4966237254266,PER
4,273.234751325042,272.5368343500891,PER
5,293.08037542457913,294.79752801313873,SAI
6,303.0314627256565,299.14351833563813,PER
7,175.7608861197616,163.6775341968254,PER
8,126.01764359560609,121.97924510788319,PER
9,247.51591458861074,246.16806540511277,PER
10,284.2280849662337,284.4892954588002,SAI
11,297.30808257212124,293.8235819966984,PER
12,148.5958773113473,145.69592878627705,PER
13,191.05614014894016,195.26049586016688,SAI
14,256.5513513812387,255.02237587978638,PER
15,208.38352224620212,201.10095664315537,PER
16,214.87565966101207,211.67122522220606,PER
17,215.48045461478458,207.73847386551225,PER
18,240.54546292664998,238.42891473568628,PER
19,275.21556224560146,277.26850746074075,SAI
20,291.30080570687966,293.00035778585857,SAI
21,261.7788755241099,257.54552503510206,PER
22,223.10624326894924,221.87151061773105,PER
23,204.69136616847888,207.25886701511112,SAI
24,265.21552557825055,265.6142982866121,SAI
