Minisector,HAM,NOR,Fastest
0,291.57265029774436,289.17187504,HAM
1,241.48713986216453,209.9149095013278,HAM
2,150.08819368888888,142.9749654772487,HAM
3,230.1506712665102,221.07792902273073,HAM
4,167.03515683333333,154.58785846857143,HAM
5,177.275164350384,175.74395953135874,HAM
6,249.76249945396825,248.09829425454546,HAM
7,272.96166645333335,269.5827377904762,HAM
8,281.10241218245613,277.3311402105263,HAM
9,273.8921057122807,251.96686628571427,HAM
10,253.38730143492063,240.4856224106553,HAM
11,256.07122570582015,241.5825771151515,HAM
12,218.72812573333331,204.19976631083304,HAM
13,150.84945775800796,141.87795674628475,HAM
14,164.05669258528138,148.34285550406713,HAM
15,188.7184093472662,188.2800785142857,HAM
16,258.5367057777778,254.86696149150367,HAM
17,249.341452887909,243.23719314948238,HAM
18,120.05400613461885,112.55062043687944,HAM
19,203.65145172912665,198.38012603076925,HAM
20,200.41719621305114,193.27167178758518,HAM
21,234.06627888997164,232.56412911304346,HAM
22,264.84323661027486,259.6676376540722,HAM
23,281.70739312280705,275.6582851186085,HAM
24,292.456385762145,285.4726849777778,HAM
25,,289.0,NOR
