Minisector,NOR,HAM,Fastest
0,297.4625464368886,305.3469864285714,HAM
1,316.8531128747795,325.5007713476768,HAM
2,325.4703776333333,330.83184518095237,HAM
3,311.62314285714285,322.08535932054656,HAM
4,170.22461084643479,165.90850738410884,NOR
5,206.43161630036633,207.29170627968026,HAM
6,232.3672875202552,229.28434560987017,NOR
7,266.4770733662888,266.1193833003361,NOR
8,247.58835978835975,249.22624680140348,HAM
9,162.75756687426062,156.48027563921713,NOR
10,222.13330898992407,215.9798985346032,NOR
11,126.81562304393911,130.7016206483068,HAM
12,228.7815855477809,232.39343860242946,HAM
13,177.4415008332787,176.80877479405262,NOR
14,216.41140668666665,216.40203248825665,NOR
15,241.20802182121523,237.2116974697506,NOR
16,264.0077161323457,267.9414927245704,HAM
17,283.6773851229893,293.13770768625244,HAM
18,155.46768970124083,148.2687459206403,NOR
19,160.24322817792626,161.88792179637815,HAM
20,142.61392596996134,132.3271029747298,NOR
21,229.91800615238094,223.66276659418182,NOR
22,262.6533062817391,256.9362462868303,NOR
23,252.9437415288787,244.23154254560464,NOR
24,274.6359188644156,272.0733163138322,NOR
25,283.6477277090909,288.87000064,HAM
