Minisector,SAI,SAR,Fastest
0,247.03045579130435,252.0341677724757,SAR
1,283.1650904032455,292.40015457414387,SAR
2,172.10626305158405,156.51191700642013,SAI
3,153.96977037577054,160.31519073837893,SAR
4,256.84786439903235,252.07306422867026,SAI
5,270.52029810457225,239.64501181252527,SAI
6,223.49621379124798,204.21798824333845,SAI
7,202.93445550239738,189.77159460642363,SAI
8,159.13808635501184,149.1084589312452,SAI
9,209.79457359113678,217.05107364141261,SAR
10,273.4009427161482,276.1304205929004,SAR
11,124.26814229814171,116.16580177576516,SAI
12,202.5067891722046,214.00200157333333,SAR
13,270.18307157281265,277.9221118527988,SAR
14,292.20416914189894,306.5142848927485,SAR
15,302.2983332495238,317.23451023342596,SAR
16,231.7553519704435,216.90185368266367,SAI
17,132.60924538936757,131.37902495527558,SAI
18,129.4282168555215,132.54886168197,SAR
19,116.6575243021261,119.17529392996026,SAR
20,226.81036905523587,217.79047676724684,SAI
21,260.7100314362323,248.29167022864067,SAI
22,231.0529798163811,217.32525382063437,SAI
23,215.12024245486703,195.19972233296818,SAI
24,136.94935101261,139.3210106455444,SAR
25,214.0,,SAI
