Minisector,RUS,HAM,Fastest
0,292.0526970271445,306.4955321392073,HAM
1,301.25984269155555,320.6289904253968,HAM
2,278.7462572670162,290.9675051275782,HAM
3,106.21044486277746,107.64542079061006,HAM
4,228.62033505756648,231.76214398837604,HAM
5,271.3281043044015,270.68620132041406,RUS
6,218.91942099634102,218.507135225679,RUS
7,167.2404583627208,163.38350365768858,RUS
8,210.8534078861772,211.1434568153288,HAM
9,213.11521853627966,220.32442526488379,HAM
10,114.78506979902814,115.32231580899003,HAM
11,228.47991645462096,227.47976739779048,RUS
12,115.12930637153991,118.37546119119985,HAM
13,225.0617390415794,217.45614206043084,RUS
14,274.35166718277435,273.7596154663204,RUS
15,223.16756342626448,233.64263899161716,HAM
16,196.0769661995477,198.51280583432964,HAM
17,251.51767383619045,250.97198552046186,RUS
18,199.39837556605292,206.53804122122452,HAM
19,186.78173661700322,178.06876314399597,RUS
20,265.80260694549315,263.52639487026755,RUS
21,290.34152894569974,288.5446694501587,RUS
22,161.53585379897675,174.1703540971094,HAM
23,218.20009750494376,209.44725541227513,RUS
24,272.14431869506865,272.067556377547,RUS
25,284.9750016,285.7750016,HAM
