Minisector,GAS,OCO,Fastest
0,299.93812476190476,303.43880928761905,OCO
1,303.02412277894734,303.7933866751323,OCO
2,297.23583386666667,296.444647469407,GAS
3,216.6844099539097,225.06250141866664,OCO
4,222.11892112315311,221.88109376201135,GAS
5,118.17569491927527,117.7037523166326,GAS
6,226.71482001785932,221.9309293805259,GAS
7,268.9226184126984,262.49927462028984,GAS
8,215.69559979144591,215.64967206165213,GAS
9,126.86685072253968,119.72315808302183,GAS
10,244.85954975176136,237.5830904772847,GAS
11,245.61974721987576,251.64275443809524,OCO
12,131.2153954287649,135.84881818785541,OCO
13,223.09427592533336,221.2229675520501,GAS
14,268.36244053817455,264.8660696029227,GAS
15,214.18571653333333,221.25533864409172,OCO
16,169.08973728621612,169.7942721589004,OCO
17,244.84097247407408,239.84486667439614,GAS
18,123.04204705853392,125.22443397138892,OCO
19,148.03192661718376,148.51945207955322,OCO
20,208.41468107936507,200.61869571888343,GAS
21,259.5421604923796,255.12776606605814,GAS
22,275.5416664888889,272.02182496507936,GAS
23,283.8624998603175,283.40138467480216,GAS
24,293.08559026981084,293.04233422989097,GAS
25,297.3666666666667,297.4624992,OCO
