Minisector,NOR,SAI,Fastest
0,264.980157566377,260.1430043954122,NOR
1,133.74843026892114,135.47697307709294,SAI
2,270.35122520674497,270.79884798657594,SAI
3,316.01800403666164,308.8304657519367,NOR
4,315.65302576203175,309.40908586666666,NOR
5,327.5731085274622,317.81708572952215,NOR
6,333.2847655012121,322.04634195670997,NOR
7,339.62208315944133,324.71407531467054,NOR
8,198.72070451595656,196.87861640019366,NOR
9,201.69726956867328,205.33775070632225,SAI
10,178.63951334300089,188.0551959997915,SAI
11,172.79358332132892,178.42668180121169,SAI
12,260.27457661063903,256.5182839658456,NOR
13,279.4808804138146,285.267334814602,SAI
14,287.97653572613126,287.5152698746921,NOR
15,274.5457460938272,271.82947614150675,NOR
16,177.88523425346332,172.69564999284268,NOR
17,200.43709335808612,194.04297676577778,NOR
18,249.86470007119303,251.93328879246897,SAI
19,292.26145756025835,292.06587280471905,NOR
20,313.2923340794876,308.5326124974206,NOR
21,319.91400879836516,315.03017451702243,NOR
22,317.05458805229597,313.80279441015267,NOR
23,249.26982839842145,271.10714776780395,SAI
24,121.43198855600272,111.44360526542462,NOR
25,235.90000213333335,223.62500114285714,NOR
