Minisector,PIA,STR,Fastest
0,282.296441105581,279.4016809534923,PIA
1,298.02225464339267,297.0270973659344,PIA
2,236.75453922203857,233.52108045206347,PIA
3,119.44300951041421,119.76315061967543,STR
4,132.45805626638557,133.32308515255613,STR
5,254.9199146955225,248.46314213486554,PIA
6,264.7268761066667,257.7950464710524,PIA
7,121.58218720065825,124.51684700311479,STR
8,244.88698290715445,244.0933496176722,PIA
9,258.7615845613766,238.87284159036787,PIA
10,218.227270784015,204.74344767938763,PIA
11,140.36130188093017,147.13646287837867,STR
12,203.45205855256427,207.39566195137064,STR
13,266.76223325990003,264.35633389993063,PIA
14,117.14021628639948,120.3163203791491,STR
15,192.95760804503269,191.3657782578243,PIA
16,260.75992379848174,259.51553759555554,PIA
17,290.287520827232,293.01019668737064,STR
18,302.61809018962964,309.92948524668265,STR
19,310.19804749321787,323.62197803276706,STR
20,313.61251321227513,332.3514880952381,STR
21,152.46468154116062,164.28007022016138,STR
22,163.7626058650719,152.13959506898425,PIA
23,207.33322824070234,202.08376558956914,PIA
24,238.27661096921153,238.69013811595414,STR
