Minisector,VET,PER,Fastest
0,292.93378831974945,304.4073270843296,PER
1,304.59337220253497,324.2342794855666,PER
2,309.2558808119369,334.3386044033229,PER
3,310.14511632133144,332.82603174603173,PER
4,178.0541142411243,170.6745408218761,VET
5,218.1312685417318,200.41471329683753,VET
6,246.56085821362407,233.0379644197095,VET
7,269.8542952623663,262.72304699753033,VET
8,272.0771911232971,267.76005683885785,VET
9,170.07796300949866,161.46133335239952,VET
10,238.15048412702657,227.66843357045323,VET
11,145.73296017986513,136.7711885731218,VET
12,230.27522870626353,216.68892130989286,VET
13,202.5786394644105,190.92216651194877,VET
14,220.20146398856232,209.82488021741065,VET
15,250.3266558564912,238.6595570293689,VET
16,264.46860464127303,250.90264344877016,VET
17,287.01739934932783,282.5961158131658,VET
18,142.68474073133507,142.13088392015555,VET
19,163.71539737504096,163.31898158622346,VET
20,150.46042615459572,143.2756920986209,VET
21,168.12578593879482,157.37092164849977,VET
22,121.70884128487985,119.45427908597986,VET
23,230.20380180345367,224.86744943889133,VET
24,275.99519525274803,269.1458066567117,VET
25,289.6401686816418,,VET
