Minisector,HAM,GIO,Fastest
0,261.9187505714286,263.4879569837535,GIO
1,140.71436333714286,131.95245142959624,HAM
2,201.5655453327967,195.92708106666666,HAM
3,247.22794139607845,246.06405687961717,HAM
4,259.6766666666667,261.3450532666667,GIO
5,189.8086005452444,180.27174066086954,HAM
6,156.22633275733332,141.77528555069603,HAM
7,190.0067468407913,180.58598427705627,HAM
8,106.21776267468671,103.64985365018876,HAM
9,79.00184700328671,77.66325547127991,HAM
10,99.39287040929949,93.7635411878788,HAM
11,182.2312093750567,178.16462817091823,HAM
12,246.99229720560223,246.6794106352941,HAM
13,269.41450880768684,269.3561103644444,HAM
14,278.77333290666667,282.54096797461983,GIO
15,123.1903975759808,128.51833122088863,GIO
16,144.60277882469134,131.78867607120364,HAM
17,195.50227238787878,194.764485384127,HAM
18,201.85078105340352,191.98174466031747,HAM
19,221.4754387649123,217.27748277568242,HAM
20,136.1859843758903,134.93629078709677,HAM
21,123.65797561904762,123.94422620669981,GIO
22,93.96898451349793,87.75402980140292,HAM
23,194.0928571936508,187.91448147301585,HAM
24,249.94593899155302,246.81813603137257,HAM
25,,263.7499968,GIO
