Minisector,OCO,HUL,Fastest
0,263.4464423883422,268.8063183214652,HUL
1,125.25379858083234,138.10467813226762,HUL
2,196.53593351303692,189.91702436736546,OCO
3,246.8445494996683,243.57009498817987,OCO
4,259.44451921379425,261.0875853823129,HUL
5,170.09047679999998,175.00854845398877,HUL
6,139.8488961433954,144.71626596246384,HUL
7,182.1446056055322,176.44821302857142,OCO
8,102.90476983424813,102.02785079304005,OCO
9,73.37096645757187,76.5695918159748,HUL
10,93.65946438026246,91.00902963233125,OCO
11,175.3240056708776,171.70819999608847,OCO
12,245.4385529339279,243.2304919072314,OCO
13,271.0755046362055,267.4720498205456,OCO
14,281.0437978139194,281.2217962666667,HUL
15,112.71231051988946,123.7281547510572,HUL
16,139.32372600658638,129.90894891598805,OCO
17,182.41059147282493,198.1412853848742,HUL
18,191.76916678141592,191.1171435222686,OCO
19,206.59782779788557,227.33035178066123,HUL
20,127.94541383695228,135.57673014879555,HUL
21,114.38461566043237,121.94185428669458,HUL
22,90.58411517675198,88.28600540087137,OCO
23,192.09489659084227,187.8522736448517,OCO
24,251.25992672823432,246.58600493475052,OCO
