Minisector,SAI,STR,Fastest
0,287.68332745295237,302.6732308126154,STR
1,164.10221203665273,151.93480865320893,SAI
2,176.99879565575594,168.48455955096654,SAI
3,253.50535279490413,240.8798325418549,SAI
4,281.8154985606096,282.7375921138278,STR
5,247.25888754867722,229.64785014386146,SAI
6,227.01457553782404,203.58619357295942,SAI
7,155.84563878098334,148.12191930471522,SAI
8,233.47304221787886,224.6163266634339,SAI
9,280.50859950217824,281.3639450901264,STR
10,297.5777231494737,302.6378186593464,STR
11,305.4610937066667,321.37485265112304,STR
12,309.8759905311943,332.44038622327986,STR
13,308.08779382974797,322.7003269965059,STR
14,132.01654120345805,127.84381816682912,SAI
15,119.58534089762853,115.61482440271284,SAI
16,97.6234500858492,97.54636835227494,SAI
17,234.38973711445888,232.67620292965688,SAI
18,284.83169377121897,286.12681652340547,STR
19,302.7515185802554,317.8482135495238,STR
20,312.1134137236424,334.9722998170105,STR
21,316.15473258382156,334.40710959477127,STR
22,116.89056903823256,115.15109708608713,SAI
23,201.53788571146384,199.60114883653236,SAI
24,265.19743611791796,271.3286797846791,STR
25,281.4,,SAI
