Minisector,ANT,LEC,Fastest
0,290.27443195967305,295.0913591272178,LEC
1,165.18404254627666,162.98566292741552,ANT
2,171.31991844000441,185.89182566965988,LEC
3,255.264927990325,258.5700632868623,LEC
4,287.5743527666612,286.2332376973471,ANT
5,252.7829704133609,263.2430101414141,LEC
6,224.0478802196788,235.14401656170645,LEC
7,152.7724371941061,152.4485585793575,ANT
8,233.973115642796,227.4196825221171,ANT
9,280.1627839806061,281.3413909881108,LEC
10,301.56203229678,300.6412391859127,ANT
11,312.55334161109437,310.52847887589684,ANT
12,318.16172443520924,316.958102934269,ANT
13,314.85613867212277,313.7780215856242,ANT
14,125.30930925219728,135.2697279424785,LEC
15,120.68229769252497,114.4633320910081,ANT
16,102.49490455672179,106.96715235865355,LEC
17,231.7502761199093,237.54531756563628,LEC
18,283.7915552735462,285.09416689635555,LEC
19,305.24366194567904,304.9259357649911,ANT
20,316.7975649240485,315.19583510933336,ANT
21,320.2432858406295,314.9091025932524,ANT
22,129.4181419841151,124.30612101152833,ANT
23,202.62680022332714,208.285576336,LEC
24,270.69359061244995,272.7105631453974,LEC
25,286.4812496,,ANT
