Minisector,SAI,VET,Fastest
0,260.65726118310727,271.29185804559313,VET
1,278.2020634311111,297.6771527777778,VET
2,283.7623631541853,309.40089299809523,VET
3,134.58441517083853,121.54904319896328,SAI
4,190.6531060077073,195.0998189537476,VET
5,251.72311414919673,255.55928457507406,VET
6,140.1705407690261,133.0498233777211,SAI
7,206.47225317128445,201.00524594909092,SAI
8,253.9202932413673,256.0045856916763,VET
9,274.3879563598763,276.0338062746599,VET
10,229.94326530612247,226.39216675154555,SAI
11,174.64006311638803,178.18661126928913,VET
12,184.0830597516957,187.86528548015795,VET
13,146.62702400371387,137.0010400825412,SAI
14,165.06954966483275,163.8432602178533,SAI
15,155.37976157742506,150.42531352544805,SAI
16,213.5663785211538,211.55533570211676,SAI
17,230.7883005286627,224.85080354285714,SAI
18,232.88587850434683,228.812480187137,SAI
19,234.31436181813663,236.91337870053957,VET
20,144.15183240167764,137.5580886360676,SAI
21,132.05284974234132,138.48721832050296,VET
22,166.5245836629218,165.14109683932355,SAI
23,147.8152508615787,141.86422619686724,SAI
24,227.40954851184156,219.43361425227513,SAI
25,,247.96785645714286,VET
