Minisector,ALO,MAG,Fastest
0,289.46766132155847,290.78344347638284,MAG
1,153.9176030374687,167.7735632591739,MAG
2,173.66972794766082,165.56827052424907,ALO
3,254.8934306973336,249.98263314471075,ALO
4,288.55187093696145,285.1911488129293,ALO
5,247.59232629629628,248.61599134199136,MAG
6,228.28341334857143,219.58412827791508,ALO
7,160.32717017522197,149.53679984803827,ALO
8,228.42307142942497,223.88361886641928,ALO
9,280.0490219270669,278.6628905533747,ALO
10,299.15158646627185,297.09644736,ALO
11,307.5644607843137,305.74659428870217,ALO
12,309.82282988888886,310.95624996799995,MAG
13,308.0025999975064,309.03332408910535,MAG
14,131.47350513125363,134.95888807064227,MAG
15,120.78199807310328,121.31428489458266,MAG
16,104.35846471735684,100.75340773493643,ALO
17,233.99370553812244,225.85570156108616,ALO
18,289.92284549761143,283.9232539225397,ALO
19,307.0010875755899,305.84826329165094,ALO
20,315.7688016108392,317.71100279026473,MAG
21,320.3824305422222,318.87922123015875,ALO
22,128.5607928280061,131.44321623231644,MAG
23,200.98294844980248,197.75112627651262,ALO
24,269.1581619198629,267.70805194805195,ALO
25,,281.1214281142857,MAG
