Minisector,ALO,VER,Fastest
0,273.77403319838385,274.20942742031747,VER
1,294.44881273993826,291.6349362634548,ALO
2,288.13740700422363,290.4197752550265,VER
3,163.71957841150098,176.4685296813649,VER
4,118.26760601081557,115.74168921040292,ALO
5,232.35601236752635,234.01368529305728,VER
6,287.565809513347,277.177780565047,ALO
7,299.77808468533334,290.65577199108543,ALO
8,171.74944309090193,172.43356266609575,VER
9,134.78519338742396,137.50656217800005,VER
10,247.09588533315193,245.8266041478116,ALO
11,284.6558429246216,285.6320812095425,VER
12,290.97382840666666,293.629153739538,VER
13,277.1295345088831,265.73650853925926,ALO
14,294.6944179642526,291.3166600840377,ALO
15,297.29711288989375,292.4179270990099,ALO
16,241.23595957611718,239.38507015103,ALO
17,217.44612524565767,212.36977665193857,ALO
18,279.4346618312743,272.95988069721636,ALO
19,310.3653327617095,296.9410717954499,ALO
20,313.4759100393369,304.67406141903484,ALO
21,222.04484645226358,217.5520661134109,ALO
22,253.41010752839057,251.3158061107408,ALO
23,128.06345368505347,136.68148392941066,VER
24,214.19734426027085,210.78156322140347,ALO
25,,253.11000064,VER
