Minisector,HAM,OCO,Fastest
0,312.7163030865485,304.9174046997865,HAM
1,326.6830529777998,310.555923187671,HAM
2,310.4064212376181,295.09052153489176,HAM
3,176.49950369565786,169.3357811165553,HAM
4,212.39100460159236,210.75450210319016,HAM
5,196.90624633233784,190.0715217826287,HAM
6,178.29045204014926,172.67603106689276,HAM
7,203.66765604501035,201.8541812071768,HAM
8,252.81113014367165,252.9265513628048,OCO
9,249.4260278621645,246.99453466586374,HAM
10,170.20749879793783,169.64497291618605,HAM
11,233.8253416508706,231.48649576981856,HAM
12,123.12196082716854,122.33832201593522,HAM
13,237.36784693800615,242.61117883743844,OCO
14,276.723468381687,278.59789624778114,OCO
15,272.95986504357865,275.0052682971429,OCO
16,202.33322218003073,193.28266712973544,HAM
17,198.46591287496162,195.01840938492137,HAM
18,291.3126746433058,292.6547169309091,OCO
19,326.61526745931496,327.8170645341596,OCO
20,328.03208014837094,333.4513824948148,OCO
21,301.8499239588572,305.60093656935067,OCO
22,251.4519918983286,256.79735572726065,OCO
23,124.83069739800716,124.36543369153162,HAM
24,246.56809147956045,253.47658602267575,OCO
25,284.8714313142857,,HAM
