Minisector,VER,MAG,Fastest
0,311.1380532368843,288.1870856486544,VER
1,189.0908344661287,195.10720860063702,MAG
2,230.08973174910642,227.20114289753252,VER
3,284.13381493452766,270.96248411299723,VER
4,233.87765516634457,234.85758707033304,MAG
5,125.35531531508714,126.16120905446249,MAG
6,212.81180738598158,208.4064017458231,VER
7,259.7853337656143,255.67023780424555,VER
8,204.43982729858473,206.21711134110703,MAG
9,211.497043846205,204.38687565234721,VER
10,269.5098530381153,260.9082892645693,VER
11,208.75845003299693,213.7385463707485,MAG
12,182.30826897815277,169.81277723123029,VER
13,263.1780182525516,252.68350267936506,VER
14,287.80816379192925,275.98016287674363,VER
15,256.1561058694443,259.4693756243692,MAG
16,244.16574824247246,237.4453996796432,VER
17,285.0840813521861,269.7042650142801,VER
18,309.02115743772544,283.12141609071637,VER
19,175.41736708218716,174.6711620684228,VER
20,210.9827736725044,212.4276898190725,MAG
21,170.68555118581608,179.18419879812913,MAG
22,141.60050395704204,136.95655942753785,VER
23,239.04898867291197,233.2787728568023,VER
24,292.13897747146797,273.82098515034784,VER
25,307.75714377142856,285.45833173333335,VER
