Minisector,MSC,MAG,Fastest
0,271.79488722962964,271.51904759480516,MSC
1,291.7916885445614,292.27305886489967,MAG
2,289.7119448735773,292.84906415788356,MAG
3,174.75407791138073,169.10362532010026,MSC
4,116.38875102791971,115.30862717330842,MSC
5,233.27624604415985,234.5335631292657,MAG
6,278.31760466161137,276.4497886805115,MSC
7,289.0598064923906,289.37334882724457,MAG
8,174.2735422835471,178.93318545124717,MAG
9,139.7265184952007,133.86570777617,MSC
10,245.90379766830313,246.64168772253956,MAG
11,283.0615505872132,284.2746920003778,MAG
12,287.38445109682664,293.54849538180724,MAG
13,273.03791138302444,270.68628730039444,MSC
14,291.38252155197694,288.9703319408615,MSC
15,288.18552442096797,292.09112233431597,MAG
16,242.2661847331217,242.74383018614523,MAG
17,220.477716467597,213.48103046922637,MSC
18,272.5845523285096,269.394130986389,MSC
19,294.5668271432657,291.7352369505303,MSC
20,298.1896131809524,297.91931493459265,MSC
21,229.17807713173372,232.725873769395,MAG
22,251.37590032156288,253.96087477598343,MAG
23,131.72453153030403,141.90503352117008,MAG
24,211.20613556285136,198.81657224073263,MSC
25,,254.39305493333336,MAG
