Minisector,VER,HAM,Fastest
0,263.4623161025641,265.17846689163656,HAM
1,242.463494919224,256.71790133909343,HAM
2,165.87376975326393,169.76030167102442,HAM
3,247.07869841558048,250.02914316190478,HAM
4,271.99168525071246,271.6923762759141,VER
5,189.69254587851788,195.33444726163884,HAM
6,123.17801765773167,124.3360660908114,HAM
7,158.44067043857814,164.78557714801516,HAM
8,257.7945480044403,259.40149952,HAM
9,180.45584116138997,182.55412652365027,HAM
10,186.1696618186334,187.4468327457106,HAM
11,256.57983045860806,258.69656895853626,HAM
12,238.63762371160496,246.32506621516754,HAM
13,259.55549952,260.38821018147837,HAM
14,284.0659742726174,284.5264488811594,HAM
15,282.9485525333333,281.43125954495423,VER
16,150.31494052479346,145.5178411632842,VER
17,236.14466355132276,237.79196507737342,HAM
18,283.0586905419309,286.92039280496897,HAM
19,295.788945538322,303.04186493968257,HAM
20,300.23246734545455,309.30062216450216,HAM
21,306.1749349302371,315.1424602920635,HAM
22,151.16695354112554,132.6431112016973,VER
23,92.12561365321548,87.93312060686806,VER
24,180.88157831534392,187.1049320647495,HAM
25,247.12500053333332,,VER
