Minisector,LEC,HUL,Fastest
0,281.55954074525573,276.53304072982456,LEC
1,304.2649679722449,303.7305241866667,LEC
2,318.54993704067226,316.19989972644385,LEC
3,325.4810732250245,324.08904394666666,LEC
4,329.5099064642177,328.0,LEC
5,331.97972222019047,329.30705240584973,LEC
6,205.01389865805922,205.86246630095238,HUL
7,112.22046266736865,104.69890949007359,LEC
8,198.35376583825993,185.0552618642855,LEC
9,269.60572373979795,262.61722009493764,LEC
10,297.7283657037331,293.8727456152073,LEC
11,166.77392348081634,159.98156605585893,LEC
12,95.5614184938839,99.40582969498513,HUL
13,123.2966715338453,114.81661387314934,LEC
14,227.65933945043477,225.1343694402126,LEC
15,195.53071519048524,193.24342273056118,LEC
16,238.59548634745826,232.45477708626436,LEC
17,188.33091246324804,182.4090705329895,LEC
18,243.2363191661376,240.905580325614,LEC
19,283.3912366447972,279.0790879719298,LEC
20,252.93162691291863,253.2646135314286,HUL
21,153.35840824819624,147.07787028571147,LEC
22,98.43824939015622,98.04480097675346,LEC
23,128.22731761365057,125.36594684997702,LEC
24,231.97273812813853,221.84194888367585,LEC
25,,260.0,HUL
